EN,RUS,TH,TH 2244/2828 (79.35%)
Ok. Let me think what I can do!,"Хорошо. Дай-ка подумать, что я могу сделать!",อ๋อ ขอคิดดูก่อนว่าหนูทำไงได้บ้างนะ!,
I can't wait to go inside!,Мне не терпится попасть внутрь!,อยากเข้าไปข้างในแล้ว!,
You know... without paying.,"Ну, ты понимаешь... не заплатив.",แบบว่า... ไม่ต้องจ่ายเงินน่ะ,
"Well, I have an idea!","Так, у меня есть идея!",อ้อ ฉันนึกออกแล้ว!,
What if we use diversion!,Что если мы воспользуемся отвлекающим манёвром?,ถ้าเราใช้วิธีเบนความสนใจล่ะ!,
Hmm... What does diversion mean...,Хмм... Что такое отвлекающий манёвр...,หืมม... เบนความสนใจคือยังไงหรอ...,
"Well, make the cashier look somewhere else, you know? Fool him!","Ну, мы заставим билетёра посмотреть в другую сторону, понимаешь? Одурачим его!",ก็ทำให้คนเก็บเงินหันไปทางอื่นไง หลอกเขาน่ะ!,
Any tickets to the zoo?,Есть билеты в зоопарк?,มีตั๋วเข้าสวนสัตว์ม้ั้ยน้า?,
No tickets. Only yucky.,Нет билетов. Только гадость.,ไม่มีตั๋วเลย มีแต่แหยะๆ,
"Eww, yucky!","Фуу, мерзость!",อี๋ แหยะ!,
A wolf!,"Ах, Волк!",หมาป่า!,
"Just wait and see, Misfortune...","Просто подожди и узнаешь, Неудача...",ไว้คอยดูก็แล้วกัน ยัยตัวซวย...,
Ok! I'll wait and then I'll see!,Хорошо! Я подожду и узнаю!,โอเค! หนูจะคอย แล้วดูจะได้ดูไง!,
Can one pet the wolf?,Я могу погладить волка?,คนเราลูบหมาป่าเล่นได้มั้ย?,
He looks really sweet.\x0D,Он выглядит очень милым.\x0A,เขาดูสวยมากจริงๆ\x0D,
Wait and see.,Подожди и узнаешь.,คอยแล้วก็ดู,
Ok... This is breakable... like...,Так... Это хрупкое... словно...,โอเค... น่าจะทำให้แตกได้... แบบว่า...,
"Like with a rock, or something.","Словно можно разбить булыжником, или чем-то ещё",แบบว่าด้วยหิน หรืออะไรสักอย่าง,
Like... like a stone.,Или... или камнем.,อะไรแบบ... ก้อนหินมั้ง,
Oy.,Oй.,อุ๊ย,
Hello. Can I get inside for free?,Здравствуйте. Я могу пройти бесплатно?,สวัสดีค่ะ หนูขอเข้าฟรีได้มั้ย?,
[The vendor turns his back to Misfortune],,[พนักงานหันหลังให้ยัยตัวซวย],
"Huh, I guess not.","Хм, видимо нет.",เหอะ สงสัยจะไม่ได้,
"Huh, they know about the missing children here.","Хм, они знают о пропавших детях.",เห ข่าวเด็กหายก็มาถึงที่นี่เหมือนกันหรอ,
Hmm... I think I came up with an idea. What if...,"Хмм... Кажется, я кое-что придумала. Что если...",หืมม หนูคิดว่าพอจะนึกออกแล้วว่าถ้าเกิด...,
"Wow! That's a wild idea, but I like it!","Надо же! Что за дикая идея, но мне нравится!",ว้าว! ไอเดียโหดดี แต่ฉันชอบนะ!,
Thank you.,Спасибо.,ขอบคุณนะ,
"A lie, Misfortune...","Ложь, Неудача...",โกหกเลยนะ ยัยตัวซวย,
Yes! I mean... that's the only way to get inside.,Да! То есть... это единственный способ попасть внутрь.,ค่ะ! หมายถึง... นั่นเป็นทางเดียวที่จะเข้าไปข้างในได้,
Alright! Let's go.,Отлично! Пошли.,ก็ได้! ไปกันเถอะ,
Hello.,Здравствуйте.,หวัดดีค่า,
I just saw her.,Я только что её видела.,พอดีเพิ่งเห็นเธอ,
"Yes, it worked!","Да, получилось!",เยี่ยม ได้ผลด้วย!,
[localvar:3],[localvar:3],[localvar:3],
What if I break the window over there and make a hell of a noise?,Что если я разобью окно вон там и сделаю много шума?,ถ้าหนูทำหน้าต่างตรงนั้นแตกแล้วทำเสียงดังๆ ดูล่ะ?,
"I´ll tell a lie, so he believes it.","Я совру так, чтобы он поверил.",หนูจะลองโกหกดู เขาน่าจะเชื่อหนูนะ,
Are you sure you want to do this?,"Ты уверена, что хочешь это сделать?",แน่ใจแล้วใช่มั้ยว่าจะทำแบบนี้?,
Trust me.,Доверься мне.,เชื่อหนูสิ,
"Excuse me, there's one of the missing children, at the bus stop.","Прошу прощения, на автобусной остановке один из пропавших детей.",โทษนะคะ หนูเห็นเด็กในประกาศเด็กหายอยู่ที่ป้ายรถเมล์,
You might want to go and check it out.,"Возможно, вы захотите пойти и проверить.",คุณน่าจะลองไปดูที่นั่นหน่อยนะ,
Thank you.,Спасибо.,ขอบคุณค่ะ,
What if I break this window and make a hell of a noise?,Что если я разобью вот это окно и сделаю много шума?,ถ้าหนูทำหน้าต่างแตกแล้วทำเสียงดังๆ ดูล่ะ?,
Hey... Remember?,Эй... Помнишь?,เฮ้... จำได้มั้ย?,
What?,Что?,ห๊ะ?,
Phantasmagoria...,Фантасмагория...,แฟนทาสมาโกเรีย...,
What are you talking about?,О чём ты говоришь?,พูดเรื่องอะไรกัน?,
Nothing.,Ни о чём.,เปล่าค่ะ,
Phantasmagoria is coming to Openfields?! That's so awesome!,Фантасмагория приезжает в Опенфилдс?! Это так круто!,แฟนทาสมาโกเรียจะจัดที่โอเพนฟิลด์?! สุดยอดไปเลย!,
"Maybe we could find time to check it out later, who knows!","Может, у нас будет время сходить туда позже, кто знает!",บางทีเราอาจมีเวลาไปที่นั่นวันหลังได้ ใครจะไปรู้ล่ะ!,
Wait... Don't play with my feelings now.,Постой... Не играй с моими чувствами.,เดี๋ยวสิ...ไม่ต้องมาให้ความหวังกันเลย,
"Let's focus on finding the Eternal Happiness first, then we'll see...","Давай сначала сконцентрируемся на Вечном Счастье, а потом посмотрим...",แต่ต้องตั้งใจตามหาความสุขนิรันดร์ให้เจอก่อน จากนั้นค่อยว่ากัน...,
Alright! I can't wait!,Хорошо! Не могу дождаться!,ก็ได้! รอไม่ไหวแล้ว!,
[localvar:6],[localvar:6],[localvar:6],
How to get inside the zoo,Как попасть в зоопарк,จะเข้าสวนสัตว์อย่างไรดี,
Which stone to throw?,Какой камень бросить?,ใช้หินก้อนไหนขว้าง?,
Break window (1),,พังกระจก (1),
Break the window,Разбить окно,พังกระจก,
Tell a lie,Соврать,โกหก,
Phantasmagoria poster,,โปสเตอร์แฟนทาสมาโกเรีย,
Break window,Break window,พังหน้าต่าง,
Rock,,ก้อนหิน,
Vendor,,พนักงาน,
Trash can,,ถังขยะ,
Window,,หน้าต่าง,
MORGO,,มอร์โก,
Wolf exhibition,,ป้ายแสดงหมาป่า,
Enter,,เข้า,
Missing child poster,,โปสเตอร์เด็กหาย,
Stony,Стоуни,เจ้าหินก้อน,
Runestone,Рунный камень,หินรูน,
"Yes, let's go then.","Да, пойдём.",เยี่ยม งั้นไปกันเลย,
This looks like the way to the wolf!,Похоже на дорогу к волку!,ดูเหมือนนี่จะเป็นทางไปหาหมาป่า!,
"Wait, Misfortune. We don't know where the wolf is.","Постой, Неудача. Мы не знаем где волк.",เดี๋ยวก่อนยัยตัวซวย เรายังไม่รู้ว่าหมาป่าอยู่ที่ไหนเลย,
Maybe we can find a map or something.,Может мы сможем найти что-то вроде карты.,บางทีเราน่าจะหาแผนที่หรืออะไรสักอย่างก่อน,
"To find the wolf, you say?","Найти волка, говоришь?",ไปหาหมาป่าใช่มั้ย?,
"Yes, Misfortune.","Да, Неудача.",ใช่แล้ว ยัยตัวซวย,
"Ah, ok.","А-а, хорошо.",เอ่อ โอเค,
Somehow I feel offended by this bird.,"Такое ощущение, словно эта птица меня оскорбляет.",บางทีหนูก็รู้สึกว่าเจ้านกนี่มันคุกคามหนู,
Don't be. It doesn't know what it's doing.,"Не обращай внимания. Она не понимает, что делает.",ไม่หรอก มันไม่รู้ด้วยซ้ำว่าตัวเองทำอะไรอยู่,
Mmm-ok.,Ммм-ладно.,อืมม โอเค,
"It says ""Owl Delusious.""","Здесь написано ""Сова Восхитительная"".",มันเขียนว่า “นกฮูกหลงตัวเอง”,
"""Although they seem incredibly smart...""","""Хотя они кажутся невероятно умными...""",“ถึงพวกมันจะดูฉลาดมากก็ตาม...”,
Funny bird.,Забавная птичка.,เป็นนกที่ตลกจัง,
"""These owls normally hang near libraries, bookstores and coffee shops.""","""Эти совы, как правило, держатся вблизи библиотек, книжных магазинов и кофеен"".",“นกฮูกพวกนี้ปกติชอบอยู่ใกล้ๆ หอสมุด ร้านหนังสือ และร้านกาแฟ”,
"""Their huge self-centered lifestyle drives them to gather useless information.","""Хотя они кажутся невероятно умными, эгоцентричный образ жизни побуждает их собирать много бесполезной информации"".",“แต่ไลฟ์สไตล์ที่เอาตัวเองเป็นศูนย์กลางทุกสิ่งทำให้พวกมันชอบหาดูแต่อะไรที่ไร้สาระ”,
"""They live off attention.""","""Живут за счёт внимания"".",“พวกมันมีชีวิตอยู่ได้ด้วยการเรียกร้องความสนใจ”,
Bird. Come eat your food.,Птичка. Иди ешь свою еду.,เจ้านก มากินอาหารเธอสิ,
I love you!,Я тебя люблю!,รักนะ!,
"You know? I'm feeling really annoyed, like a lot!","Знаешь? Я очень раздражена, прямо совсем!",รู้มั้ย? หนูรู้สึกหงุดหงิดๆ มากเลยด้วย!,
"I smell hormones, waking up inside you!","Я чую запах гормонов, что просыпаются в тебе!",ฉันได้กลิ่นฮอร์โมที่เริ่มก่อตัวขึ้นในตัวหนู!,
What? Homos?,Чего? Гомов?,อะไรนะ? โฮโม?,
No! Hormones!,Нет! Гормонов!,ไม่ใช่! ฮอร์โมน!,
"Ah, ok. What's that?","А-а, понятно. Что это?",อ๋อโอเค มันคืออะไรล่ะ?,
Your body is preparing to create life inside you.,Твоё тело готовится к созданию новой жизни внутри тебя.,ร่างกายเธอเตรียมพร้อมที่จะสร้างสิ่งมีชีวิตจากข้างใน,
"Ah, ok.","Оу, хорошо.",เอ่อ โอเค,
And you'll bleed for three to five days from your vagina.,А из влагалища от трёх до пяти дней будет идти кровь.,แล้วก็มีเลือดออกจากอวัยวะเพศของเธอประมาณสามถึงห้าวัน,
Eww! Yikes forever!\x0D,Фуу! Ужас!\x0A,แหยะ!... ยี้ตลอดกาล!\x0D,
"You will also suffer each month for many, many years.","Кроме того, ты будешь страдать каждый месяц долгие-предолгие годы.",เธอจะต้องรู้สึกเจ็บปวดทุกเดือนต่อเนื่องไปอีกหลายปี,
And society will treat you like garbage.,И общество будет относиться к тебе как к мусору.,แถมสังคมจะมองเธอเป็นตัวน่ารังเกียจ,
Are you for reals?,Ты серьёзно?,นี่พูดจริงหรอ?,
"Yes, I am.",Абсолютно.,จริงสิ,
I think I need some emergency glitter!,"Кажется, мне срочно необходимы блёстки!",หนูคิดว่าหนูต้องการกากเพชรฉุกเฉินแล้วตอนนี้!,
Aah! So much better.,Ах! Намного лучше.,เห้ออ! ค่อยดีขึ้นหน่อย,
What's happening to me?,Что со мной происходит?,เกิดอะไรขึ้นกับหนูเนี่ย?,
You'll get a lot of new feelings that are completely normal.,"Ты испытаешь много новых ощущений, которые абсолютно нормальны.",เธอจะมีความรู้สึกใหม่ๆ ที่ทั้งหมดนั่นเป็นเรื่องธรรมดา,
"Aww, look at those sweet plushies!","Ооу, посмотри на эти милые плюшевые игрушки!",อุ๊ย ดูตุ๊กตาน่ารักพวกนั้นสิ!,
Don't get too attached to those toys!,Не привязывайся к ним сильно!,อย่ามัวแต่สนใจของเล่นนั่นเกินไปหน่อยเลย!,
Don't worry. I'm just looking.,Не волнуйся. Я только смотрю.,ไม่ต้องห่วงน่า แค่ดูเฉยๆ,
They could be all my babies!\x0D,Они все могут стать моими детьми!\x0A,อาจจะได้มาเป็นลูกๆ เบบี๋หนูทุกตัวเลย!\x0D,
"It says ""The Num Num Parrot. This kind of parrot lives across the entire world.""","Здесь написано ""Попугай Ням-Ням. Этот вид попугаев встречается по всему миру"".",มันเขียนว่า “นกแก้วนัมนัม เป็นสัตว์ที่อาศัยกระจายอยู่ทั่วทั้งโลก”,
"""They usually work together with human pirates. Natural born thieves.""","""Обычно они работают совместно с человеческими пиратами. Прирождённые воры"".",“พวกนกมักจะร่วมงานกับกับมนุษย์โจรสลัด เกิดมาเพื่อเป็นหัวขโมย”,
Hmph. Mean birdie num num.,Хм. Подлая птичка ням-ням.,เหอะ เจ้านกนัมนัมปากเสีย,
"""They talk much but say very little.""","""Они много болтают, но мало говорят по делу"".",“พวกมันคุยเก่งมากแต่พูดได้ไม่กี่คำ”,
"""Founders of the Liberation Front.""","""Основатели Фронта Освобождения"".",“ผู้ก่อตั้งแนวหน้าปลดแอก”,
There!,Вот!,ตรงนี้!,
No. Try again.,Нет. Попробуй снова.,ไม่ใช่ เอาใหม่,
There!,Вот!,ตรงนี้!,
No. Try again.,Нет. Попробуй снова.,ไม่ใช่ เอาใหม่,
There!,Вот!,ตรงนี้!,
No. Try again.,Нет. Попробуй снова.,ไม่ใช่ เอาใหม่,
There!,Вот!,ตรงนี้!,
No. Try again.,Нет. Попробуй снова.,ไม่ใช่ เอาใหม่,
There! You see? Pet the wolfie.,Здесь! Видишь? Погладьте волка.,ตรงนี้! เห็นมั้ย? ไปเล่นกับเจ้าหมาป่า,
Great job! Let's hurry up now.,Отличная работа! Теперь поспешим.,เก่งมาก! รีบไปกันได้แล้ว,
Caged animals...?,Зверей в клетках...?,สัตว์ในกรงหรอ...?,
Yes... Remember he knows where the fox lives.,"Да... Помни, он знает, где живёт лис.",ใช่สิ... จำไว้ว่าเขารู้ว่าจิ้งจอกอาศัยอยู่ที่ไหน,
Isn't this wonderful? We'll get to see so many caged animals.\x0D,Разве это не чудесно? Мы увидим столько зверей в клетках.\x0A,สุดยอดเลยใช่มั้ยล่ะ? เราจะได้เห็นพวกสัตว์ในกรงมากมาย\x0D,
"By the way, you did a great job not getting caught by the vendor.","Кстати, ты отлично справилась с тем, чтобы не попасться билетёру",จะว่าไป เธอเก่งมากเลยนะที่ไม่โดนคนขายตั๋วจับได้,
"Ah, thank you.","А, спасибо.",อ่า ขอบคุณนะ,
"But now, we should find out where the wolf exhibit is.",Но теперь нам предстоит отыскать выставку волков.,แต่ตอนนี้เราต้องไปหากันว่ากรงหมาป่าอยู่ที่ไหน,
Why? You mean Benjamin's cousin is a wolf?,"Почему? Хочешь сказать, кузен Бенджамина - волк?",ทำไมล่ะ? ญาติของเบนจามินเป็นหมาป่าหรอ?,
...Alright.,...Хорошо.,...โอเค,
Very impressive.,Очень впечатляет.,น่าประทับใจจริงๆ,
Look! Birdie num num!,Смотри! Птичка ням-ням!,ดูสิ! เจ้านกนัมนัม!,
It looks like this parrot is ready to take action.,"Похоже, этот попугай готов к решительным действиям.",เหมือนว่านกแก้วตัวนี้พร้อมจะทำอะไรสักอย่าง,
”Liberation Front?” Birdie num num wants to escape?,”Фронт Освобождения?” Птичка ням-ням хочет сбежать?,“แนวหน้าปลดแอก?” เจ้านกนัมนัมอยากจะหนีไปหรอ?,
Yes! Escape and make a better life for itself.,Да! Сбежать и построить для себя лучшую жизнь.,ใช่! หนีออกไปสู่ชีวิตที่ดีกว่าของตัวเอง,
"You can do it, sweet parrot!","Ты сможешь, милый попугай!",เธอทำได้นะ นกแก้วคนเก่ง!,
*Parrot screams again*,*Попугай снова кричит*,*นกแก้วร้องอีกครั้ง*,
What?,Что?,ห๊ะ?,
Give yourself a fuck!,Иди на хрен!,เย็ดบ้านมึงดิ!,
"Oh, Misfortune, watch that mouth!","Господи, Неудача, следи за языком!",นี่ยัยตัวซวย ระวังคำพูดด้วย!,
I don't care! This bird is mean!,Мне плевать! Эта птица злая!,หนูไม่สน! นกนี่มันปากเสียเอง!,
"Oh dear, we need to get your happiness back as soon as possible.\x0D","Ох, боже, нужно как можно скорее вернуть твоё счастье.\x0A",ตายจริง เราต้องเอาความสุขของเธอกลับมาให้ได้โดยเร็วที่สุด\x0D,
*parrots screams*,*попугай кричит*,*นกแก้วร้อง*,
It belongs to the ”Liberation Front”.,Он принадлежит ”Фронту Освобождения”.,มันเป็นสมาชิก “แนวหน้าปลดแอก”,
What did you just say to me?,Что ты мне сказал?,ตะกี้ว่ายังไงนะ?,
I was nice to you!,Я была мила с тобой!,ฉันอุตส่าห์ดีกับเธอแล้วนะ!,
Whoa... so much to see and do!,Вау... столько всего можно посмотреть и сделать!,โห... มีอะไรให้ไปดูเยอะแยะเลย!,
Find the wolf area so we know where to go.,"Найди зону с волками, чтобы мы знали куда идти.",ไปที่โซนหมาป่า เราจะได้รู้ว่าต้องไปไหนต่อ,
I think the zoo is about to close!,"Кажется, зоопарк вот-вот закроется!",ฉันคิดว่าสวนสัตว์ใกล้จะปิดแล้วนะ!,
"It says ""Fuckedilius Dis Shittius.""","Здесь написано ""На Все Забиватус.""",มันเขียนว่า “เยได กอ เลียงได”,
"""They don't care about anything as long as they are occupied by mindless entertainment.""","""Пока они занимаются бессмысленными развлечениями, их ничего не волнует"".",“พวกมันไม่สนใจอะไรทั้งนั้นตราบเท่าที่ยังคงง่วนอยู่การเสพสุขแบบไร้สามัญสำนึกต่อไป”,
"Huh, really?\x0D","Ха, в самом деле?\x0A",หา จริงดิ?\x0D,
"""These birds multiply at a very high rate, with different partners, leaving behind dysfunctional offspring.""","""Эти птицы размножаются с очень высокой скоростью, с разными партнёрами, оставляя после себя неблагополучное потомство"".",“นกพวกนี้มีอัตราการขยายพันธุ์ที่สูงมากโดยเปลี่ยนคู่ไปเรื่อย แล้วปล่อยทิ้งลูกที่มีปัญหาเอาไว้”,
"Birda, Birda! Come, Birda!","Бёрда, Бёрда! Иди сюда, Бёрда!",นกจ๋า นกจ๋า! มาสิ นกจ๋า!,
"Eat your food, Birda! Birda!","Ешь свою еду, Бёрда! Бёрда!",กินซะสิ นกจ๋า! นกจ๋า!,
Is your name Birda?,Тебя зовут Бёрда?,ชื่อนกจ๋ารึเปล่าน่ะเรา?,
Birda.,Бёрда.,นกจ๋า,
There are coins at the bottom of the fountain!,На дне фонтана лежат монетки!,มีเหรียญอยู่ที่ก้นน้ำพุด้วย!,
Yes. Those are people's wishes.,Да. Это желания людей.,ใช่แล้ว คนเขามาอธิษฐานน่ะ,
Can one pay for wishes?,За желание можно заплатить?,คนเราซื้อสิ่งที่อธิษฐานได้ด้วยหรอ?,
I wish I could throw a coin and ask for my happiness back.,Хотела бы я бросить монетку и пожелать обратно своё счастье.,หวังว่าหนูโยนเหรียญลงไปแล้วขอให้ความสุขกลับมาหาหนูได้นะ,
People nowadays think they can buy everything with money.,"В наше время люди думают, что за деньги могут купить все.",คนเราเดี๋ยวนี้คิดว่าขอแค่มีเงินก็ซื้อทุกอย่างได้,
Also that Benjamin transformed into a good foxy...,И чтобы Бенджамин превратился в хорошего лиса...,แล้วก็ขอให้เบนจามินกลายเป็นจิ้งจอกแสนดีด้วย...,
"Because I would totally go out on a date with him, if he was good!","Я бы определённо пошла с ним на свидание, стань он хорошим!",เพราะหนูจะยอมไปออกเดทกับเขาแน่นอน ถ้าเขาเป็นคนดี!,
"Hmm! Are you done here, Misfortune?","Хмм! Ты закончила здесь, Неудача?",เอิ่ม! เสร็จหรือยังล่ะ ยัยตัวซวย?,
Yeah...,Да...,ค่ะ...,
"Look, this bird seems pretty smart!","Смотри, эта птица кажется довольно умной!",ดูสิ นกตัวนี้ดูน่าจะฉลาดนะ!,
"It isn't, trust me. Move on, Misfortune.","Это не так, поверь мне. Пойдём дальше, Неудача.",ไม่หรอก เชื่อฉันสิ ไปกันต่อเถอะยัยตัวซวย,
Mmm-ok.,Ммм-хорошо.,อืมม โอเค,
There you go.,"Вот, держи.",เอาไปเลย,
Mmm! Robert and Mary?,Мммм! Роберт и Мэри?,อืมม! โรเบิร์ตกับแมรี่?,
Are you enjoying the food?,Вам нравится ваша еда?,ชอบของกินที่เอาให้มั้ย?,
You like it.,Нравится.,ชอบสินะ,
[localvar:1],[localvar:1],[localvar:1],
"I'll take the seeds, because...","Я возьму семена, потому что...",หนูเอาเมล็ดพวกนี้ไปดีกว่า เพราะว่า...,
"I want to feed the birds, so they are not hungry.","Я хочу покормить птиц, чтобы они не голодали.",หนูอยากให้อาหารนก พวกมันจะได้ไม่หิว,
"Nah. I don't want to steal things, even if it's good for birds.","Не-а. Я не хочу воровать, даже если это хорошо для птиц.",ไม่ล่ะ หนูไม่อยากขโมยของ ต่อให้พวกนกจะชอบก็ตาม,
"I'm a little lady, you know?","Я - маленькая леди, понимаешь?",หนูโตเป็นสาวน้อยแล้วนะรู้มั้ย?,
"It's not what a little lady does, simple as that.","Маленькие леди так не поступают, все просто.",การขโมยไม่ใช่สิ่งที่สาวน้อยควรทำ ก็แค่นั้นแหละ,
Ok?,Понятно?,ใช่มั้ยล่ะ?,
"Ok, Misfortune.","Понятно, Неудача.",โอเค ยัยตัวซวย,
"I wish I could write Japanese, so I could send a cute postcard to my friend Hiro.","Хотела бы я уметь писать на японском, чтобы отправить милую открытку своему другу Хиро.",หนูอยากเขียนภาษาญี่ปุ่นได้จัง หนูจะได้ส่งโปสการ์ดน่ารักๆ ไปให้ฮิโระเพื่อนของหนู,
But where does a ghost live?,"Только, где живут призраки?",แต่ผีจะไปอาศัยอยู่ที่ไหนล่ะ?,
You're just jealous because you don't have a ghost friend.,"Ты просто завидуешь, что у тебя нет друга-призрака.",นี่อิจฉาเพราะว่าคุณไม่มีเพื่อนเป็นผีแบบหนูล่ะสิ,
"Stop lying, Misfortune! Ghosts are not real.","Прекрати врать, Неудача! Призраков не существует.",เลิกโกหกได้แล้วยัยตัวซวย! ผีมันมีจริงที่ไหน,
Steal bird seeds?,Украсть семена для птиц?,ขโมยอาหารนกไหม?,
Yes,Да,ใช่,
No,Нет,ไม่,
Map,,แผนที่,
Fuckedilius sign,,ป้ายนกเยได,
Owl,,นกฮูก,
Feed bird,,ให้อาหารนก,
Bird seeds,,อาหารนก,
Feed bird,,ให้อาหารนก,
Fuckedilius bird,,นกเยได,
Postcard stand,,ซุ้มโปสการ์ด,
Feed bird,,ให้อาหารนก,
Parrot sign,,ป้ายนกแก้ว,
Fountain,,น้ำพุ,
Owl sign,,ป้ายนกฮูก,
Plushie store,,ร้านตุ๊กตานุ่มนิ่ม,
MORGO,,มอร์โก,
We're getting pretty close!,Мы уже совсем близко!,เราใกล้จะถึงแล้ว!,
Well done!,Молодец!,เก่งมาก!,
I made it! Little Ninja Lady is the best.,У меня получилось! Маленькая Леди-Ниндзя - лучшая.,หนูทำได้! สาวน้อยนินจาเก่งที่สุด,
Thank you.,Спасибо.,ขอบคุณนะ,
Like a Little Ninja Lady...,Как Маленькая Леди-Ниндзя...,วิถีแห่งสาวน้อยนินจา...,
"Well done, Misfortune!","Очень хорошо, Неудача!",เก่งมากเลย ยัยตัวซวย!,
And then kill her from behind?,А потом убить её сзади?,แล้วฆ่าเธอจากข้างหลังใช่มั้ย?,
What? No! Why?,Что? Нет! Зачем?,เดี๋ยวนะ? ไม่สิ! ทำไมล่ะ?,
"That's what the ninjas do in movies, I've seen like all of them.","Так ниндзя делают в фильмах, я видела буквально все.",พวกนินจาทำแบบนั้นในหนังไง เห็นแบบนั้นทุกเรื่องเลย,
"Well this isn't a movie, so just do as I say...","Но это не фильм, поэтому делай, как я говорю...",นี่ไม่ใช่ในหนัง แค่ทำตามที่บอกก็พอ...,
Don't tell Mommy...,Не говори маме...,อย่าบอกแม่นะ...,
"When she turns around, you can jump out and keep moving...","Когда она отвернётся, ты можешь выпрыгнуть и идти дальше...",พอเธอหันกลับไป หนูค่อยโผล่ออกมาแล้วไปต่อ...,
"Ah, alright then...","А, ну ладно...",อ่อ เอาละนะ...,
Now wait for her to turn her back to you and...,Теперь подожди когда она повернётся к тебе спиной...,ทีนี้ก็รอให้เธอหันกลับไปแล้วค่อย...,
It just looked a lot cooler on TV.,По телевизору это выглядело намного круче.,ดูน่าสนุกกว่าในทีวีอีก,
"Oh my, looks like this area is closed to the public...","Ну и ну! Похоже, эта часть закрыта для посетителей...",ตายจริง ดูเหมือนตรงนี้จะปิดไม่ให้คนทั่วไปเข้า...,
"Aah, damn it.","Ах, проклятье.",อ่า เซ็งเลย,
You will have to sneak past the janitor to get to the other side.,"Тебе придётся прокрасться мимо дворника, чтобы добраться до той стороны.",เธอต้องย่องผ่านคนเก็บกวาดเพื่อไปอีกด้านนึง,
"Don't let her see you, otherwise she will lock you in and call your Mommy...","Не дай ей себя увидеть, иначе она запрет тебя и позвонит твоей маме...",อย่าให้เธอเห็นเข้าล่ะ ไม่งั้นโดนจับขังโทรเรียกแม่มาแน่,
"Oh, don't worry, I'm like a sweet little ninja.\x0D","Эй, не беспокойся, я - милая маленькая ниндзя.\x0A",ไม่ต้องห่วงน่า หนูนี่แหละนินจาตัวตึง\x0D,
"I could hide behind those boxes, right?","Я могла бы спрятаться за теми коробками, верно?",หนูไปซ่อนหลังกล่องพวกนั้นได้ใช่มั้ย?,
Great idea! Hide behind a box until she turns her back to you.,"Прекрасная идея! Спрячься за коробками, пока она не повернётся к тебе спиной.",เข้าท่า! ซ่อนอยู่หลังกล่องจนกว่าเธอจะหันหลังกลับไป,
"Alright, I'm ready! Let's do this.","Хорошо, я готова! Приступим.",เอาล่ะ หนูพร้อมแล้ว! มาลุยกันดีกว่า,
Damn it! My ninja move failed...,Проклятье! Мои ниндзя трюки не сработали...,แม่งเอ๊ย! วิชานินจาหนูไม่ได้ผล...,
I’m like the Shadow Ninja Master... She never saw me...,Я словно Теневой Мастер Ниндзя... Она меня так и не увидела...,เหมือนหนูเป็นยอดนินจาเงาเลย... เธอไม่เห็นหนูด้วยซ้ำ...,
"Don't celebrate just yet, there's one more box you have to sneak past....","Рано праздновать. Осталась ещё одна коробка, мимо которой нужно прокрасться....",อย่าเพิ่งดีใจไป ยังมีอีกกล่องต้องผ่านไปให้ได้...,
You better watch me when I nail this one...,"Лучше смотри, как я отлично справлюсь...",คอยดูให้ดีล่ะตอนหนูพริ้วไหวผ่านกล่องนี้...,
"Look, the bear in the picture is sucking a popsicle.","Смотри, медведь на картинке ест фруктовое мороженое.",ดูสิ หมีในรูปกำลังกินไอติมแท่ง,
It looks like it’s strawberry flavored...,"Кажется, со вкусом клубники...",สงสัยจะเป็นรสสตรอเบอรี่ซะด้วย...,
"Mmm, yummy.","Ммм, вкусняшка.",น่าอร่อยจัง,
MORGO,,มอร์โก,
Bear exhibition,,ป้ายแสดงหมี,
Wolf exhibition,,ป้ายแสดงหมาป่า,
It’s locked.,Закрыто.,มันล็อกอยู่,
I need a key for this.,Мне нужен ключ.,ต้องหากุญแจให้เจอ,
"Yes, you do.","Верно, нужен.",ใช่แล้ว,
"It says ""Canis Lupus, also known as the Big Bad Wolf...""","Здесь написано ""Канис Люпус, также известный как Большой Серый Волк..""","ป้ายเขียนว่า ""คานิส ลูพุส หรืออีกชื่อก็คือหมาป่าตัวใหญ่ใจร้าย...""",
"""His favorite snack is... ""","""Его любимая закуска...""","""สิ่งที่ชอบกินคือ... """,
Remember the missing children?,"Помнишь, пропавшие дети?",จำเรื่องเด็กๆ ที่หายตัวไปได้มั้ย?,
You're right! We should call the cops on him!,Ты прав! Мы должны сдать его копам!,จริงด้วย! เราควรจะเรียกตำรวจมาจับเขากัน!,
"No, we don't want to get involved with the police.","Нет, мы не хотим связываться с полицией.",อย่าเลย เราไม่ไปยุ่งกับพวกตำรวจดีกว่า,
"Ah, ok.","Ну, ладно.",เอ่อ โอเค,
"""...red hooded little girls""?! That’s silly.","""...маленькие девочки в красных шапочках""?! Это глупо.","""...หนูน้อยหมวกแดง""?! ตลกจัง",
Mmmhmm.,Ага.,อือฮึ,
Maybe he's behind it all!,"Может, это он стоит за всем этим!",บางทีมันอาจอยู่เบื้องหลังเรื่องทั้งหมด!,
You think he's eating the children?,"Думаешь, он ест детей?",คิดว่าเขากินเด็กๆ เข้าไปหรอ?,
Who knows?,Кто знает?,ก็ไม่แน่รึเปล่า?,
